Date;Day;Action;Protester;State/target;Agent;Event;Country;Location;Issue;Link date;Time ;# Protesters;Arrests;Injuries;Deaths;Prop. Damage;# State;Injuries;State killed;OSD;Source;Story date;No event found
22/02/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
23/02/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
24/02/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
25/02/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
26/02/1993;Fri;raid;PIRA;government;police;arrest 2 after finding weapons in van;Ireland;Kildare;terror;;;2;2;0;0;N;8;0;0;26731;Guardian;27/02/1993;
26/02/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
27/02/1993;Sat;raid;PIRA;government;police;find arms cache;Ireland;Kilcock;terror;;;0;0;0;0;N;31;0;0;26731;Daily Mail;28/02/1993;
27/02/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
28/02/1993;Sun;arrest;PIRA;government;police;arrest PIRA suspects after finding arms;Ireland;Navan;terror;;;3;3;0;0;N;8;0;0;26731;Irish Times;01/03/1993;
01/03/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
02/03/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
03/03/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
04/03/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
05/03/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
06/03/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
07/03/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
08/03/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
09/03/1993;Tue;strike;health workers;government;Eastern Health Board;against corruption in board nominations;Ireland;Ireland;corruption;;;700;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
09/03/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
10/03/1993;Wed;fight;students;students;;fight about appointment of chair of education;Ireland;Dublin;University Education chair;;;1300;0;0;0;Y;101;0;0;48124;Irish Times;11/03/1993;
10/03/1993;Wed;strike;health workers;government;Eastern Health Board;against corruption in board nominations;Ireland;Ireland;corruption;;;700;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
10/03/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
11/03/1993;Thu;strike;health workers;government;Eastern Health Board;against corruption in board nominations;Ireland;Ireland;corruption;;;700;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
11/03/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
12/03/1993;Fri;strike;health workers;government;Eastern Health Board;against corruption in board nominations;Ireland;Ireland;corruption;;;700;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
12/03/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
13/03/1993;Sat;strike;health workers;government;Eastern Health Board;against corruption in board nominations;Ireland;Ireland;corruption;;;700;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
13/03/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
14/03/1993;Sun;strike;health workers;government;Eastern Health Board;against corruption in board nominations;Ireland;Ireland;corruption;;;700;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
15/03/1993;Mon;strike;health workers;government;Eastern Health Board;against corruption in board nominations;Ireland;Ireland;corruption;;;700;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
15/03/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
16/03/1993;Tue;strike;health workers;government;Eastern Health Board;against corruption in board nominations;Ireland;Ireland;corruption;;;1800;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
16/03/1993;Tue;strike;janitors;government;;strike for higher pay in convention hall;Ireland;Dublin;wages;;;25;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
16/03/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
17/03/1993;Wed;strike;janitors;government;;strike for higher pay in convention hall;Ireland;Dublin;wages;;;25;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
17/03/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
18/03/1993;Thu;strike;janitors;government;;strike for higher pay in convention hall;Ireland;Dublin;wages;;;25;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
18/03/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
19/03/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
20/03/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
21/03/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
22/03/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
23/03/1993;Tue;demonstration;clothing workers;government;Dail;protest increased VAT;Ireland;Dublin;tax on clothing;;;3001;0;0;0;N;0;0;0;678827;Financial Times;24/03/1993;
23/03/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
24/03/1993;Wed;demonstration;citizens;PIRA;;against Warrington, UK bombing by PIRA;Ireland;Dublin;anti-PIRA;20/03/1993;19:00;1001;0;0;0;N;0;0;0;800000;The Herald;25/03/1993;
24/03/1993;Wed;petition;citizens;PIRA;;against Warrington, UK bombing by PIRA;Ireland;Dublin;anti-PIRA;20/03/1993;19:00;30000;0;0;0;N;0;0;0;800000;The Herald;25/03/1993;
24/03/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
